customer_id,name,email,country,signup_date,updated_at,is_current,start_date,end_date
1,Allison Hill,jillrhodes@miller.com,Djibouti,2024-07-26,2025-06-18,True,2025-06-18,
2,Kristina Baldwin,shaneramirez@gmail.com,Senegal,2025-03-16,2025-05-12,True,2025-05-12,
3,Jay Ramirez,curtis61@abbott-munoz.com,Saint Lucia,2024-06-20,2024-07-02,True,2024-07-02,
4,Valerie Gray,barbara10@hotmail.com,Denmark,2025-02-19,2025-07-09,True,2025-07-09,
5,Bobby Hall,oramirez@martin-kelly.com,Reunion,2025-06-26,2025-10-29,True,2025-10-29,
6,Andrea Reid,stevennelson@watts.com,Denmark,2025-03-29,2025-07-21,True,2025-07-21,
7,Ethan Adams,jason76@ellis.net,Martinique,2024-01-20,2024-03-31,True,2024-03-31,
8,Jessica Silva,wendytaylor@yahoo.com,Bermuda,2025-02-06,2025-03-30,True,2025-03-30,
9,Brian Burton,cruzcaitlin@yahoo.com,Malta,2024-01-11,2024-12-22,True,2024-12-22,
10,Shannon Smith,kayla51@graham-chavez.com,Macao,2025-02-10,2025-11-16,True,2025-11-16,
11,Thomas Harrell,ericfarmer@hotmail.com,Zimbabwe,2025-02-23,2025-04-08,True,2025-04-08,
12,Tamara George,rodriguezmichael@yahoo.com,Dominican Republic,2023-08-13,2024-06-10,True,2024-06-10,
13,Keith Miller,spenceamanda@gmail.com,Brunei Darussalam,2024-11-23,2025-06-27,True,2025-06-27,
14,Joshua Baker,sarahcampos@hotmail.com,Cook Islands,2025-01-03,2025-01-19,True,2025-01-19,
15,Zachary Santos,omartinez@gmail.com,Guadeloupe,2023-07-16,2023-07-31,True,2023-07-31,
16,Crystal Robinson,perezrebecca@jones-young.info,Croatia,2024-08-21,2024-10-07,True,2024-10-07,
17,Timothy Duncan,kristenaguirre@gmail.com,Bhutan,2023-09-13,2024-01-02,True,2024-01-02,
18,Heather Jenkins,brownjessica@wright.net,Kiribati,2023-10-16,2024-02-12,True,2024-02-12,
19,Donald Wright,jmorton@williams.com,Bermuda,2025-06-18,2026-03-03,True,2026-03-03,
20,Cynthia Russell,michellebarrera@gmail.com,Hong Kong,2023-07-01,2024-05-04,True,2024-05-04,
21,Mrs. Rachel Gibson,smoore@gmail.com,Azerbaijan,2024-09-21,2024-10-04,True,2024-10-04,
22,Amy Edwards,hshaw@brown.com,Thailand,2023-11-21,2024-09-03,True,2024-09-03,
23,Barry Hensley,davidashley@hotmail.com,Nauru,2023-07-30,2023-11-08,True,2023-11-08,
24,Jennifer Silva,james53@yahoo.com,Indonesia,2023-10-09,2024-09-05,True,2024-09-05,
25,Elizabeth Stewart,ellisyolanda@jones.net,Estonia,2023-10-10,2024-10-03,True,2024-10-03,
26,Shirley Suarez,eric84@hotmail.com,Sri Lanka,2024-11-18,2025-08-24,True,2025-08-24,
27,Mary Spencer,josephpreston@tran.com,Costa Rica,2024-12-14,2025-07-16,True,2025-07-16,
28,Deborah Freeman,waltersmaria@smith.com,Central African Republic,2025-01-25,2025-05-17,True,2025-05-17,
29,Michael Hoffman,landryhannah@gardner.org,Mexico,2023-10-23,2024-06-08,True,2024-06-08,
30,Andrew Diaz,jason31@deleon-henson.biz,Nicaragua,2025-02-01,2025-11-29,True,2025-11-29,
31,Timothy Hancock,vjohnson@patton-jenkins.com,Ethiopia,2023-10-31,2024-03-21,True,2024-03-21,
32,Ashley Brennan,jamessellers@yahoo.com,Gambia,2025-03-28,2025-03-31,True,2025-03-31,
33,Crystal Johnson,emurphy@bell-hicks.net,Greenland,2025-06-28,2025-09-17,True,2025-09-17,
34,Shawn Green,rodriguezryan@hotmail.com,Solomon Islands,2024-02-28,2025-02-19,True,2025-02-19,
35,William Wilson,bradley60@frost.com,Haiti,2024-05-29,2024-12-31,True,2024-12-31,
36,Matthew Rivera,cortezkevin@yahoo.com,Papua New Guinea,2024-05-12,2024-11-02,True,2024-11-02,
37,Michael Spencer,yortega@adkins.biz,Mayotte,2025-04-07,2025-08-27,True,2025-08-27,
38,Dustin Jordan,rramos@gmail.com,Madagascar,2024-07-01,2024-09-18,True,2024-09-18,
39,Toni Fitzgerald,zachary95@cardenas.com,Czech Republic,2025-03-17,2025-07-05,True,2025-07-05,
40,Alexander Sanchez,gibsonolivia@hotmail.com,Congo,2025-01-07,2025-06-28,True,2025-06-28,
41,Kathleen Sanchez,osbornejeffery@holmes.com,Korea,2023-10-11,2023-12-02,True,2023-12-02,
42,Mary Travis,usalazar@hotmail.com,Japan,2025-04-05,2025-05-22,True,2025-05-22,
43,Jill Moore,pgreen@hotmail.com,Falkland Islands (Malvinas),2025-02-13,2025-08-26,True,2025-08-26,
44,Kari Allen,reevesjimmy@yahoo.com,Ghana,2025-05-23,2025-07-11,True,2025-07-11,
45,Brenda Hall,calebrussell@owens.biz,United Kingdom,2025-02-16,2025-08-18,True,2025-08-18,
46,Melissa Gates,wsmith@yahoo.com,Sao Tome and Principe,2024-04-27,2024-10-20,True,2024-10-20,
47,Tiffany Barnes,brobinson@johnson-rogers.biz,Saint Kitts and Nevis,2023-11-05,2024-09-09,True,2024-09-09,
48,Tamara Hooper,qvargas@miller.com,Tonga,2024-06-22,2024-11-04,True,2024-11-04,
